t[s],wx[rad/s],wy[rad/s],wz[rad/s],q1,q2,q3,q4
0.126,1.52252,3.53696,-3.70887,0.103541,0.190542,-0.220784,0.950909
0.127,1.51858,3.54049,-3.70671,0.104138,0.191946,-0.22216,0.95024
0.128,1.51465,3.54401,-3.70456,0.104732,0.193347,-0.223529,0.94957
0.129,1.51071,3.54752,-3.70241,0.105321,0.194744,-0.224891,0.948897
0.13,1.50677,3.55101,-3.70027,0.105907,0.196139,-0.226247,0.948222
0.131,1.50283,3.5545,-3.69813,0.106489,0.19753,-0.227595,0.947546
0.132,1.49888,3.55797,-3.69599,0.107067,0.198919,-0.228936,0.946867
0.133,1.49494,3.56143,-3.69386,0.107642,0.200304,-0.23027,0.946186
0.134,1.49099,3.56489,-3.69173,0.108212,0.201686,-0.231597,0.945503
0.135,1.48704,3.56833,-3.6896,0.108779,0.203065,-0.232917,0.944818
0.136,1.48309,3.57176,-3.68748,0.109342,0.20444,-0.23423,0.944132
0.137,1.47914,3.57517,-3.68536,0.109901,0.205812,-0.235536,0.943444
0.138,1.47519,3.57858,-3.68325,0.110456,0.207182,-0.236835,0.942754
0.139,1.47123,3.58198,-3.68114,0.111007,0.208547,-0.238127,0.942062
0.14,1.46728,3.58536,-3.67903,0.111555,0.20991,-0.239412,0.941369
0.141,1.46332,3.58873,-3.67692,0.112099,0.211269,-0.24069,0.940674
0.142,1.45936,3.5921,-3.67482,0.112639,0.212625,-0.241961,0.939978
0.143,1.4554,3.59545,-3.67273,0.113175,0.213978,-0.243225,0.93928
0.144,1.45144,3.59879,-3.67063,0.113707,0.215327,-0.244482,0.938581
0.145,1.44748,3.60212,-3.66854,0.114236,0.216673,-0.245732,0.93788
0.146,1.44351,3.60544,-3.66646,0.114761,0.218016,-0.246975,0.937178
0.147,1.43955,3.60875,-3.66438,0.115282,0.219355,-0.248211,0.936475
0.148,1.43558,3.61204,-3.6623,0.115799,0.220691,-0.24944,0.93577
0.149,1.43161,3.61533,-3.66022,0.116313,0.222024,-0.250662,0.935064
0.15,1.42764,3.6186,-3.65815,0.116822,0.223353,-0.251877,0.934357
0.151,1.42367,3.62187,-3.65609,0.117328,0.224679,-0.253085,0.933649
0.152,1.4197,3.62512,-3.65402,0.117831,0.226001,-0.254287,0.93294
0.153,1.41573,3.62836,-3.65197,0.118329,0.227321,-0.255481,0.93223
0.154,1.41175,3.6316,-3.64991,0.118824,0.228636,-0.256668,0.931519
0.155,1.40777,3.63482,-3.64786,0.119315,0.229948,-0.257848,0.930807
0.156,1.4038,3.63803,-3.64581,0.119802,0.231257,-0.259022,0.930094
0.157,1.39982,3.64122,-3.64377,0.120286,0.232563,-0.260188,0.92938
0.158,1.39584,3.64441,-3.64173,0.120766,0.233864,-0.261348,0.928666
0.159,1.39185,3.64759,-3.6397,0.121242,0.235163,-0.262501,0.92795
0.16,1.38787,3.65076,-3.63767,0.121715,0.236458,-0.263647,0.927234
0.161,1.38389,3.65391,-3.63564,0.122183,0.23775,-0.264786,0.926518
0.162,1.3799,3.65706,-3.63362,0.122649,0.239038,-0.265918,0.9258
0.163,1.37592,3.66019,-3.6316,0.12311,0.240322,-0.267043,0.925082
0.164,1.37193,3.66331,-3.62958,0.123568,0.241603,-0.268162,0.924364
0.165,1.36794,3.66642,-3.62757,0.124022,0.242881,-0.269273,0.923645
0.166,1.36395,3.66953,-3.62557,0.124472,0.244155,-0.270378,0.922925
0.167,1.35996,3.67262,-3.62357,0.124919,0.245426,-0.271476,0.922205
0.168,1.35597,3.6757,-3.62157,0.125362,0.246693,-0.272568,0.921484
0.169,1.35197,3.67877,-3.61957,0.125802,0.247957,-0.273652,0.920764
0.17,1.34798,3.68182,-3.61758,0.126238,0.249217,-0.27473,0.920043
0.171,1.34398,3.68487,-3.6156,0.12667,0.250474,-0.275801,0.919321
0.172,1.33998,3.68791,-3.61362,0.127099,0.251727,-0.276865,0.918599
0.173,1.33599,3.69094,-3.61164,0.127524,0.252977,-0.277923,0.917877
0.174,1.33199,3.69395,-3.60967,0.127945,0.254223,-0.278974,0.917155
0.175,1.32799,3.69696,-3.6077,0.128363,0.255466,-0.280018,0.916433
0.176,1.32399,3.69995,-3.60574,0.128777,0.256705,-0.281056,0.915711
0.177,1.31998,3.70293,-3.60378,0.129188,0.257941,-0.282087,0.914988
0.178,1.31598,3.70591,-3.60182,0.129595,0.259173,-0.283111,0.914266
0.179,1.31198,3.70887,-3.59987,0.129999,0.260402,-0.284129,0.913544
0.18,1.30797,3.71182,-3.59793,0.130399,0.261627,-0.28514,0.912821
0.181,1.30396,3.71476,-3.59598,0.130795,0.262849,-0.286145,0.912099
0.182,1.29996,3.71769,-3.59405,0.131188,0.264067,-0.287143,0.911377
0.183,1.29595,3.72061,-3.59211,0.131578,0.265282,-0.288134,0.910654
0.184,1.29194,3.72352,-3.59018,0.131964,0.266493,-0.289119,0.909932
0.185,1.28793,3.72642,-3.58826,0.132346,0.267701,-0.290098,0.909211
0.186,1.28392,3.72931,-3.58634,0.132725,0.268905,-0.29107,0.908489
0.187,1.2799,3.73219,-3.58442,0.1331,0.270106,-0.292035,0.907768
0.188,1.27589,3.73506,-3.58251,0.133472,0.271303,-0.292994,0.907047
0.189,1.27188,3.73791,-3.58061,0.133841,0.272497,-0.293947,0.906326
0.19,1.26786,3.74076,-3.57871,0.134206,0.273687,-0.294893,0.905606
0.191,1.26385,3.74359,-3.57681,0.134568,0.274874,-0.295833,0.904886
0.192,1.25983,3.74642,-3.57492,0.134926,0.276057,-0.296767,0.904167
0.193,1.25581,3.74923,-3.57303,0.135281,0.277237,-0.297694,0.903447
0.194,1.25179,3.75204,-3.57115,0.135632,0.278413,-0.298615,0.902729
0.195,1.24777,3.75483,-3.56927,0.13598,0.279586,-0.299529,0.902011
0.196,1.24375,3.75762,-3.56739,0.136324,0.280755,-0.300438,0.901293
0.197,1.23973,3.76039,-3.56552,0.136665,0.281921,-0.30134,0.900576
0.198,1.23571,3.76315,-3.56366,0.137003,0.283083,-0.302236,0.89986
0.199,1.23168,3.7659,-3.5618,0.137338,0.284242,-0.303125,0.899144
0.2,1.22766,3.76865,-3.55994,0.137669,0.285397,-0.304008,0.898429
0.201,1.22364,3.77138,-3.55809,0.137996,0.286549,-0.304886,0.897714
0.202,1.21961,3.7741,-3.55625,0.138321,0.287698,-0.305757,0.897001
0.203,1.21558,3.77681,-3.55441,0.138642,0.288843,-0.306622,0.896288
0.204,1.21156,3.77951,-3.55257,0.138959,0.289984,-0.30748,0.895575
0.205,1.20753,3.7822,-3.55074,0.139274,0.291123,-0.308333,0.894864
0.206,1.2035,3.78488,-3.54891,0.139585,0.292257,-0.30918,0.894153
0.207,1.19947,3.78755,-3.54709,0.139892,0.293389,-0.31002,0.893443
0.208,1.19544,3.79021,-3.54527,0.140197,0.294516,-0.310855,0.892734
0.209,1.19141,3.79286,-3.54346,0.140498,0.295641,-0.311683,0.892026
0.21,1.18738,3.7955,-3.54165,0.140796,0.296762,-0.312506,0.891319
0.211,1.18334,3.79812,-3.53985,0.141091,0.29788,-0.313323,0.890612
0.212,1.17931,3.80074,-3.53805,0.141382,0.298994,-0.314133,0.889907
0.213,1.17528,3.80335,-3.53626,0.14167,0.300105,-0.314938,0.889202
0.214,1.17124,3.80595,-3.53447,0.141955,0.301212,-0.315737,0.888499
0.215,1.16721,3.80854,-3.53269,0.142237,0.302316,-0.31653,0.887796
0.216,1.16317,3.81111,-3.53091,0.142516,0.303417,-0.317317,0.887095
0.217,1.15913,3.81368,-3.52914,0.142791,0.304514,-0.318099,0.886395
0.218,1.15509,3.81624,-3.52737,0.143063,0.305608,-0.318874,0.885695
0.219,1.15106,3.81878,-3.5256,0.143332,0.306699,-0.319644,0.884997
0.22,1.14702,3.82132,-3.52385,0.143598,0.307786,-0.320408,0.8843
0.221,1.14298,3.82384,-3.52209,0.143861,0.30887,-0.321166,0.883604
0.222,1.13894,3.82636,-3.52034,0.14412,0.30995,-0.321919,0.882909
0.223,1.1349,3.82887,-3.5186,0.144377,0.311027,-0.322666,0.882215
0.224,1.13085,3.83136,-3.51686,0.14463,0.312101,-0.323407,0.881523
0.225,1.12681,3.83385,-3.51513,0.14488,0.313172,-0.324143,0.880832
0.226,1.12277,3.83632,-3.5134,0.145127,0.314239,-0.324873,0.880142
0.227,1.11873,3.83879,-3.51168,0.145371,0.315303,-0.325598,0.879453
